names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Mission: Impossible - Fallout,2018,U/A 13+ ,2h 26m,"A mission gone wrong forces Ethan Hunt and his team to work with the CIA, and familiar faces, as they race to save the world from nuclear devastation.","['Spy Movies', 'US Movies', 'Action & Adventure']","Adrenaline Rush,","['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg', 'Rebecca Ferguson', 'Sean Harris', 'Angela Bassett', 'Vanessa Kirby', 'Michelle Monaghan', 'Alec Baldwin']","['English,', 'Hindi']","['English [Original],', 'Hindi']"
The Mummy,2017,U/A 16+ ,1h 50m,A treasure-hunting soldier reawakens an ancient Egyptian princess who has waited for centuries to take revenge on a world that wronged her.,"['US Movies', 'Action & Adventure']","Suspenseful,","['Tom Cruise', 'Annabelle Wallis', 'Sofia Boutella', 'Russell Crowe', 'Jake Johnson', 'Courtney B. Vance', 'Marwan Kenzari', 'Simon Atherton', 'Stephen Thompson', 'James Arama']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Ittefaq,2017,U/A 13+ ,1h 44m,"A homemaker and a writer are prime suspects -- and the only witnesses -- in a double murder, and it’s up to one detective to uncover the elusive truth.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Dramas', 'Thriller Movies']","Suspenseful,","['Sidharth Malhotra', 'Sonakshi Sinha', 'Akshaye Khanna', 'Mandira Bedi', 'Himanshu Kohli', 'Ajay Jadhav', 'Pavail Gulati', 'Samir Sharma']",['English'],['Hindi [Original]']
Don't Breathe,2016,A ,1h 28m,He's blind and rich -- the perfect target for robbery. But the tables turn when three teen thieves find themselves in a lethal game of cat and mouse.,"['US Movies', 'Horror Movies']","Violent,","['Jane Levy', 'Stephen Lang', 'Daniel Zovatto', 'Dylan Minnette', 'Sergej Onopko']","['English,', 'English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
Wrath of Man,2021,A ,1h 58m,An enigmatic employee of an armored truck company catches his co-workers off guard when he unleashes his violent skills during an attempted heist.,"['US Movies', 'Crime Movies', 'Action & Adventure']","Dark,","['Jason Statham', 'Holt McCallany', 'Jeffrey Donovan', 'Josh Hartnett', 'Laz Alonso', 'Raúl Castillo', 'Deobia Oparei', 'Eddie Marsan', 'Scott Eastwood']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original]']"
The Guilty,2021,U/A 16+ ,1h 31m,A troubled police detective assigned to 911 operator duty scrambles to save a distressed caller during a harrowing day of revelations — and reckonings.,"['US Movies', 'Crime Movies', 'Dramas', 'Thriller Movies']","Ominous,","['Jake Gyllenhaal', 'Ethan Hawke', 'Riley Keough', 'Peter Sarsgaard', 'Christina Vidal Mitchell', 'Paul Dano', 'Eli Goree', ""Da'Vine Joy Randolph"", 'David Castañeda']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Troll,2022,U/A 13+ ,1h 43m,"When an explosion in the Norwegian mountains awakens an ancient troll, officials appoint a fearless paleontologist to stop it from wreaking deadly havoc.",['Action & Adventure'],"Suspenseful,","['Ine Marie Wilmann', 'Kim Falck', 'Mads Sjøgård Pettersen', 'Gard B. Eidsvold', 'Karoline Viktoria Sletteng Garvang', 'Yusuf Toosh Ibra', 'Bjarne Hjelde', 'Anneke von der Lippe', 'Dennis Storhøi', 'Fridtjov Såheim']","['English,', 'English,', 'Norwegian']","['English,', 'Hindi,', 'Norwegian - Audio Description,', 'Norwegian [Original],', 'Tamil,', 'Telugu']"
HIT: The First Case,2022,A ,2h 12m,"Burdened by old demons, a troubled but brilliant detective sets out to solve two confounding abduction cases — one involving his own girlfriend.","['Hindi-Language Movies', 'Bollywood Movies', 'Crime Movies', 'Thriller Movies']","Dark,","['Rajkummar Rao', 'Sanya Malhotra', 'Dalip Tahil', 'Milind Gunaji', 'Shilpa Shukla', 'Sanjay Narvekar', 'Akhil Iyer', 'Nuveksha', 'Jatin Goswami', 'Rose Khan']","['English,', 'Hindi']",['Hindi [Original]']
The Conjuring,2013,U/A 16+ ,1h 51m,"After moving into a Rhode Island farmhouse, a family experiences supernatural occurrences and seeks help from a pair of noted paranormal investigators.","['US Movies', 'Horror Movies']","Chilling,","['Vera Farmiga', 'Patrick Wilson', 'Lili Taylor', 'Ron Livingston', 'Shanley Caswell', 'Hayley McFarland', 'Joey King', 'Mackenzie Foy', 'Kyla Deaver', 'Shannon Kook']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
Tenet,2020,U/A 13+ ,2h 30m,An undercover agent must retrieve a mysterious and powerful weapon in order to stop a temporal war that could destroy the world.,"['Spy Movies', 'Sci-Fi Movies', 'Action & Adventure']","Mind-Bending,","['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Michael Caine']",['English'],"['English [Original],', 'Hindi']"
